avg_travel_time,std_travel_time,avg_wait,avg_queue,avg_delay,throughput,avg_speed
127.82,113.21,1249.86,103.42,7798.69,1.81,1.25
170.44,156.08,1393.32,107.67,9693.29,1.7,1.22
187.58,164.23,1473.9,118.05,10356.09,1.79,1.07
221.03,195.18,1710.67,126.83,12764.06,1.67,0.96
198.47,179.77,1454.97,114.59,10478.61,1.69,1.15
187.67,167.01,1360.32,112.43,9757.29,1.73,1.23
199.64,184.58,1557.34,117.17,11180.72,1.68,1.14
203.02,179.23,1511.68,120.71,11116.9,1.71,1.17
216.86,194.06,1624.19,125.61,12396.11,1.68,1.02
195.6,172.37,1571.22,121.86,11028.71,1.72,1.01
148.8,128.21,1200.0,99.11,7546.14,1.78,1.25
172.21,163.89,1290.86,106.3,9143.86,1.72,1.17
213.87,186.9,1539.37,124.15,11738.59,1.68,1.07
209.98,182.48,1508.99,123.82,11603.62,1.72,1.03
199.83,176.22,1562.12,124.6,11601.8,1.74,1.01
196.32,168.24,1471.44,120.84,11137.18,1.66,1.0
161.63,153.9,1486.85,122.78,10329.28,1.88,0.96
159.08,138.65,1202.09,98.2,7657.43,1.8,1.36
185.62,157.65,1400.07,114.41,9591.88,1.86,1.23
182.26,160.68,1404.55,112.76,9566.02,1.82,1.15
152.93,137.95,1102.9,94.84,7021.86,1.87,1.34
179.82,147.58,1374.8,112.13,9086.83,1.84,1.19
113.36,93.25,1140.32,88.81,5806.84,1.87,1.4
180.2,155.82,1638.53,117.44,10062.43,1.84,1.14
191.37,172.99,1602.17,116.34,10102.53,1.79,1.22
176.5,179.79,1507.6,105.47,9603.13,1.73,1.36
147.27,127.42,1370.52,98.51,7534.18,1.82,1.35
145.61,135.41,1398.86,114.65,8850.06,1.93,1.14
171.26,148.1,1332.74,105.97,8248.83,1.84,1.31
148.76,123.91,1144.3,95.11,6907.07,1.8,1.44
185.57,162.01,1368.46,111.52,9057.08,1.82,1.26
161.78,146.18,1242.07,99.53,8073.62,1.72,1.34
174.16,148.98,1381.69,107.54,8526.8,1.82,1.27
164.45,139.83,1268.56,101.9,7838.09,1.8,1.38
178.34,159.29,1330.67,107.76,8823.75,1.81,1.27
150.47,129.56,1126.09,93.84,7054.44,1.79,1.5
203.3,177.24,1444.35,117.73,10171.7,1.76,1.15
165.95,141.91,1333.73,104.86,8078.77,1.85,1.41
171.86,152.37,1330.92,106.55,8730.88,1.78,1.31
184.34,153.15,1476.47,117.53,10328.31,1.76,1.07
182.65,153.81,1443.98,112.81,9147.73,1.82,1.18
139.03,118.03,1091.2,88.89,6218.52,1.79,1.51
147.53,116.28,1202.8,97.33,7030.34,1.81,1.3
157.48,130.37,1299.02,102.8,7499.28,1.86,1.24
142.94,123.99,1134.68,92.11,6581.7,1.82,1.45
141.38,124.21,1146.35,93.73,6830.71,1.79,1.46
141.5,115.51,1171.15,94.93,6697.89,1.82,1.39
145.11,118.15,1219.33,95.23,6607.17,1.88,1.33
184.95,157.84,1465.1,114.79,9564.33,1.81,1.2
175.81,145.14,1362.36,107.35,8636.26,1.76,1.24
153.2,127.4,1248.6,97.92,7439.41,1.78,1.33
140.78,121.53,1219.12,92.06,6652.13,1.85,1.53
157.78,128.0,1389.66,104.14,7574.88,1.91,1.29
158.94,123.6,1404.1,106.44,7731.31,1.91,1.24
151.35,130.71,1253.37,97.82,7133.63,1.89,1.51
150.02,128.36,1175.52,93.39,6549.66,1.88,1.5
178.41,148.42,1518.88,112.52,8995.06,1.86,1.25
141.31,111.42,1225.92,95.4,6568.03,1.88,1.36
158.86,135.83,1287.04,99.01,7286.02,1.88,1.45
169.5,137.29,1542.8,114.96,9310.69,1.86,1.16
133.57,105.66,1108.15,86.78,5571.0,1.84,1.51
179.26,152.56,1483.84,112.62,9091.45,1.86,1.16
172.66,140.93,1458.64,108.83,8394.0,1.85,1.32
129.33,112.08,1080.29,82.72,5515.71,1.87,1.73
