avg_travel_time,std_travel_time,avg_wait,avg_queue,avg_delay,throughput,avg_speed
172.36,176.28,1315.31,113.06,10690.21,1.61,0.89
242.68,227.93,1721.48,137.34,15687.03,1.5,0.82
192.54,151.6,1373.47,118.11,11582.38,1.72,1.06
207.0,193.72,1424.74,119.25,12383.62,1.56,1.09
200.24,177.13,1434.69,120.66,12035.52,1.68,0.96
218.79,196.3,1522.48,129.42,13695.42,1.53,0.86
203.92,183.68,1497.96,122.35,12455.57,1.64,0.95
213.49,190.46,1518.53,126.14,12895.78,1.57,0.9
200.41,160.62,1321.01,117.02,11736.4,1.67,1.06
220.94,207.08,1490.09,121.16,12764.06,1.51,1.03
195.05,170.14,1450.99,117.06,12016.89,1.7,1.04
227.07,204.93,1463.36,122.88,12591.08,1.55,1.04
252.4,232.68,1654.44,132.42,14709.91,1.53,0.88
271.0,285.54,2982.76,140.3,26683.99,1.56,0.94
124.48,130.26,488.49,61.94,5680.05,1.82,1.78
245.45,209.95,1502.18,133.35,13852.87,1.57,0.9
120.73,118.95,397.8,62.85,5409.28,1.83,1.77
234.69,209.3,1504.27,128.27,13009.67,1.6,0.89
133.74,141.33,463.85,68.9,6453.69,1.82,1.62
119.89,122.61,415.88,63.69,5774.86,1.8,1.73
226.63,202.14,1436.58,126.37,12934.67,1.55,0.99
120.46,130.1,422.72,59.13,5271.36,1.81,1.71
230.28,198.72,1451.97,125.69,12960.81,1.56,0.95
121.56,125.53,456.61,62.44,5570.92,1.82,1.72
98.76,107.16,407.36,50.56,4282.7,1.74,1.99
218.77,200.49,1516.92,125.07,12851.88,1.54,0.91
117.83,130.32,504.45,59.51,5473.74,1.75,1.83
230.33,209.42,1421.39,122.5,12551.3,1.55,0.97
144.13,153.08,717.83,75.07,7788.45,1.76,1.53
141.04,153.0,787.9,71.78,7706.99,1.7,1.62
233.49,197.22,1367.29,129.08,13062.79,1.59,0.92
157.24,239.88,1541.45,82.78,18110.46,1.37,1.41
214.97,183.34,1403.99,122.52,11866.18,1.58,1.02
171.11,268.65,2390.77,86.69,23187.79,1.34,1.42
230.6,214.0,1437.91,128.73,13758.13,1.54,0.89
208.35,304.39,1740.34,99.68,23079.75,1.29,1.09
260.31,232.37,1767.82,139.77,16251.03,1.5,0.81
252.69,349.02,2822.46,113.06,32076.17,1.28,0.9
177.45,266.29,1223.51,87.29,16961.22,1.34,1.52
235.28,202.79,1471.69,132.42,13643.7,1.59,0.88
164.54,240.74,1253.77,89.3,16831.95,1.4,1.43
211.33,193.35,1379.66,120.44,12230.13,1.52,0.91
235.6,333.01,2246.78,107.11,28250.92,1.33,1.08
201.11,186.33,1287.72,115.89,11109.89,1.59,1.06
146.86,235.47,2085.12,80.43,19561.7,1.42,1.9
237.4,200.19,1497.92,134.1,14159.8,1.57,0.95
183.64,286.94,1971.45,91.97,23295.9,1.41,1.5
183.4,247.13,1295.65,87.84,16160.69,1.57,1.43
224.59,213.17,1611.92,128.84,13813.83,1.52,0.86
125.48,190.18,916.2,70.55,12083.86,1.61,2.01
239.39,222.48,1614.99,134.84,14763.73,1.55,0.85
154.85,234.04,845.44,76.48,13197.66,1.62,1.63
236.08,213.95,1502.24,132.77,14154.31,1.54,0.87
164.07,241.04,1481.01,80.19,15758.73,1.6,1.55
127.04,188.79,978.98,67.9,11188.73,1.62,1.77
212.84,189.72,1457.75,120.66,12224.06,1.52,0.93
128.21,188.73,942.94,73.02,12399.71,1.6,1.77
220.85,194.81,1426.41,123.14,12343.47,1.57,1.0
159.85,232.79,1593.56,81.92,16886.62,1.64,1.7
152.92,256.02,2419.58,80.28,24096.08,1.59,1.6
244.66,230.04,1514.31,129.1,14258.17,1.5,0.98
179.76,202.75,1371.9,120.42,13835.78,1.4,0.77
223.05,186.92,1481.67,125.42,12334.67,1.59,1.01
230.11,230.42,1489.01,120.5,13946.77,1.49,1.13
192.39,168.77,1250.24,113.13,10330.71,1.61,1.07
229.79,219.89,1548.47,121.99,14019.83,1.51,1.06
243.53,220.88,1574.54,133.73,14421.79,1.53,0.89
220.32,231.75,1504.31,120.94,14382.29,1.46,1.03
238.79,219.46,1379.69,120.8,12776.78,1.51,1.05
253.81,238.18,1639.04,137.34,16452.86,1.4,0.81
229.96,193.56,1508.14,133.23,13983.03,1.58,0.86
209.74,197.06,1492.78,122.25,13240.96,1.5,0.92
249.27,232.35,1649.16,138.79,16593.68,1.46,0.78
236.1,210.29,1552.27,132.39,14338.35,1.5,0.96
202.81,238.65,1577.88,103.33,14095.58,1.63,1.21
121.16,133.19,415.71,58.62,5231.28,1.78,1.81
188.65,170.43,1196.82,109.95,10131.55,1.6,1.05
105.46,113.03,327.09,53.57,4417.1,1.81,1.93
221.52,199.75,1561.87,127.65,13831.43,1.55,0.89
107.69,118.59,376.22,57.2,4905.39,1.8,1.74
126.12,144.98,453.33,62.78,5718.76,1.83,1.65
208.36,183.86,1324.52,120.01,11586.76,1.6,1.1
134.73,165.11,657.43,71.14,7448.59,1.81,1.66
219.37,205.6,1471.08,123.37,12572.51,1.64,0.95
132.91,165.25,778.56,72.32,8546.92,1.79,1.7
131.18,206.66,1056.74,71.71,12205.38,1.66,1.72
244.86,204.85,1440.93,130.6,13477.62,1.56,0.94
135.18,217.11,1071.92,73.24,12763.85,1.65,1.88
223.5,197.55,1401.62,124.31,12238.38,1.6,1.01
141.44,225.53,1363.53,74.62,14147.46,1.65,1.71
206.02,187.62,1500.18,120.55,12538.87,1.51,0.97
147.75,249.3,1753.83,77.07,18772.97,1.64,1.78
154.55,239.66,1895.88,85.56,20104.13,1.51,1.45
219.12,193.92,1515.38,127.39,13241.05,1.56,0.9
245.51,317.22,2053.53,110.46,24682.99,1.3,0.92
208.02,183.64,1291.4,119.9,11864.44,1.57,1.0
244.23,339.22,3770.76,113.81,37520.87,1.27,0.9
211.5,188.02,1410.71,119.4,12311.42,1.54,1.05
197.9,274.8,1714.02,97.68,20034.3,1.31,1.09
225.41,195.28,1596.56,127.57,13493.9,1.62,0.92
224.87,301.83,2279.88,112.54,27432.81,1.28,0.9
223.27,191.39,1404.81,128.46,12847.43,1.62,0.95
194.64,278.18,2112.0,99.5,22007.54,1.3,1.03
241.3,215.49,1560.25,132.19,14210.86,1.56,0.95
251.65,340.04,2236.15,111.75,27359.83,1.28,0.91
209.14,182.26,1393.38,120.55,11995.93,1.52,0.98
153.44,236.14,2191.74,84.97,21921.56,1.5,1.61
214.46,202.75,1340.61,115.99,11864.14,1.52,1.04
137.59,216.11,1506.81,72.83,14811.17,1.64,1.92
124.53,198.12,1318.02,70.09,14305.31,1.6,2.06
251.42,209.77,1682.75,140.37,15255.24,1.59,0.81
130.97,206.21,1050.18,68.34,11850.43,1.62,1.94
224.84,195.39,1337.27,122.7,12491.0,1.52,1.01
125.46,207.18,1025.92,65.77,11710.03,1.63,2.1
223.77,201.93,1409.33,122.78,12476.1,1.58,1.06
123.48,200.64,1671.01,71.26,15497.52,1.62,1.98
250.99,213.87,1550.81,137.25,14522.54,1.57,0.9
144.1,231.57,1026.36,74.13,13031.3,1.66,1.88
222.5,199.69,1427.9,121.65,12568.07,1.53,1.04
123.66,198.32,983.89,65.67,11531.77,1.62,2.11
201.55,187.36,1300.35,116.9,11247.93,1.61,1.15
146.19,231.92,1035.33,75.57,13106.47,1.65,1.84
183.14,151.78,1213.48,111.66,9947.35,1.65,1.06
136.31,210.87,1417.15,71.32,13871.88,1.61,1.92
152.68,242.28,1113.28,76.9,13953.06,1.59,1.79
229.76,200.76,1370.15,124.01,12609.23,1.57,0.97
146.31,226.79,961.8,77.26,13489.69,1.59,1.79
224.21,203.96,1354.78,122.54,12732.27,1.53,1.0
135.57,205.89,974.86,77.82,13414.39,1.55,1.75
219.26,200.21,1701.86,128.38,14382.29,1.48,0.87
152.9,228.39,978.59,78.04,13386.88,1.47,1.84
240.3,212.49,1473.04,132.1,13872.78,1.59,0.87
203.9,271.64,1972.31,103.18,21211.46,1.46,1.12
231.62,197.53,1520.22,126.07,13068.83,1.54,1.0
173.07,257.42,1947.93,89.22,21231.23,1.63,1.48
228.07,198.0,1546.93,134.08,13856.74,1.6,0.9
190.86,257.32,1873.01,93.61,18448.97,1.51,1.41
225.3,197.71,1475.33,126.84,12835.74,1.61,0.93
201.41,281.08,1664.79,98.02,20891.99,1.4,1.39
253.15,232.38,1517.42,130.75,14083.91,1.52,0.89
213.64,308.78,2060.83,100.8,24258.37,1.33,1.25
235.62,222.08,1635.0,132.42,14517.98,1.57,0.89
242.21,313.99,1762.83,110.84,23247.86,1.31,0.94
244.83,208.6,1623.41,136.65,14211.22,1.59,0.88
184.21,284.91,1727.15,89.95,21265.28,1.36,1.56
215.07,194.94,1429.14,126.28,12923.76,1.64,0.93
250.0,338.71,2942.09,113.94,30527.29,1.3,0.91
204.64,188.83,1401.56,117.35,11666.6,1.56,0.98
245.15,327.6,1801.67,108.37,23988.25,1.29,1.0
172.45,273.73,2586.24,92.9,27296.9,1.31,1.28
234.38,205.6,1572.39,130.51,13670.28,1.59,0.94
176.31,263.73,1978.22,91.37,20525.01,1.31,1.32
246.28,213.72,1686.92,137.66,15014.99,1.55,0.82
187.12,282.85,2417.93,92.97,22397.01,1.37,1.47
246.49,216.45,1441.69,128.66,13735.16,1.51,0.96
235.38,338.32,3304.67,111.12,36220.5,1.28,1.0
216.99,179.9,1382.66,121.06,11929.33,1.56,1.01
236.96,338.7,2482.27,108.6,29976.2,1.3,1.08
226.97,202.79,1477.15,127.69,13082.23,1.62,0.91
210.4,288.78,2202.19,110.41,27121.61,1.27,0.94
192.23,298.89,3946.68,104.23,34940.95,1.3,1.05
245.77,215.82,1696.08,135.36,14908.51,1.56,0.88
194.25,266.5,1822.72,105.62,22862.76,1.28,1.02
242.2,201.8,1493.19,133.27,13738.38,1.62,0.92
220.18,317.71,2535.94,103.28,26888.42,1.31,1.16
232.84,216.82,1530.98,132.06,13945.97,1.57,0.86
191.33,279.88,2827.89,103.48,28965.29,1.28,0.99
231.98,199.12,1531.73,133.58,14011.82,1.57,0.85
195.26,305.27,3062.29,99.19,32644.4,1.32,1.35
232.18,196.86,1472.97,128.77,12699.4,1.61,0.97
249.11,339.59,2650.56,111.71,29252.21,1.27,0.94
211.73,179.62,1474.88,125.24,12344.33,1.58,0.93
237.92,318.87,1409.02,106.98,22160.95,1.28,0.99
137.3,199.94,3046.75,102.25,29087.18,1.29,0.9
228.17,196.6,1468.57,131.32,13229.19,1.63,0.92
232.88,357.25,4492.85,111.84,45204.77,1.26,0.98
220.89,199.19,1392.63,123.43,12708.85,1.54,1.03
227.68,301.76,2093.19,112.0,26031.97,1.25,0.89
240.98,210.12,1565.74,135.43,14944.71,1.52,0.82
206.82,307.18,3815.12,112.42,36030.37,1.26,0.88
202.04,184.49,1253.57,112.21,10905.82,1.54,1.03
205.24,286.64,2213.44,109.89,26588.55,1.28,0.93
233.57,197.18,1480.62,130.74,13489.59,1.6,0.96
229.42,311.68,2144.29,111.99,27348.03,1.25,0.89
219.67,193.16,1387.51,123.04,12646.87,1.53,0.93
208.86,309.57,2308.94,99.31,25756.09,1.26,1.07
143.69,224.55,2490.6,97.19,24459.49,1.32,1.01
220.19,191.06,1368.59,121.82,12344.45,1.55,1.01
220.05,338.32,3759.6,106.02,37368.48,1.27,0.98
217.69,197.55,1455.67,128.31,13698.49,1.54,0.89
225.06,324.06,3267.49,107.79,32363.05,1.25,0.96
219.31,189.0,1564.99,130.87,13534.32,1.58,0.87
210.17,281.67,2061.47,111.55,25547.12,1.26,0.9
236.01,203.95,1535.22,128.03,13342.15,1.59,0.99
232.47,325.29,2095.19,106.99,26896.26,1.24,0.95
249.73,223.49,1506.05,131.47,13912.56,1.55,0.92
209.09,298.78,2603.32,103.41,27829.25,1.26,0.99
260.92,351.82,2613.85,113.45,29934.79,1.24,0.88
228.87,193.2,1428.7,128.53,13112.18,1.57,1.01
241.79,356.29,4016.51,113.6,42042.5,1.25,0.88
247.81,216.22,1678.57,136.72,15234.23,1.51,0.85
243.59,339.22,3180.26,114.91,36213.61,1.27,0.86
230.97,201.46,1551.06,130.02,13366.28,1.58,0.93
197.93,296.76,2788.78,101.82,28491.03,1.28,1.0
224.21,186.76,1491.27,127.85,12928.83,1.56,0.96
199.14,285.62,2443.31,107.83,29822.83,1.26,0.91
223.82,200.56,1501.09,127.42,13090.68,1.58,1.0
253.02,350.43,3389.48,115.9,37504.1,1.26,0.86
237.68,208.49,1510.6,131.72,13903.19,1.55,0.96
236.21,326.04,2176.73,107.66,26804.23,1.25,0.94
198.74,190.32,1354.93,114.69,11564.03,1.56,1.03
235.43,326.12,2795.42,110.63,31120.65,1.26,0.92
227.48,198.05,1386.29,129.81,12888.72,1.61,0.86
203.74,292.24,1329.73,97.41,19780.13,1.28,1.07
198.58,289.75,2208.13,102.74,27944.36,1.25,0.97
232.46,209.27,1542.32,126.12,13245.74,1.54,0.96
248.6,330.14,2084.72,110.71,25014.04,1.25,0.9
245.88,210.29,1650.44,138.3,14707.7,1.59,0.83
236.76,314.54,1722.29,112.17,24602.83,1.26,0.89
245.56,226.95,1561.84,131.76,14958.62,1.48,0.83
201.75,173.58,1336.45,116.71,11166.04,1.57,1.03
236.28,336.53,3179.07,112.07,34916.26,1.26,0.89
228.63,199.31,1403.35,125.3,12592.31,1.54,1.01
191.56,296.09,2864.75,96.49,28166.5,1.27,1.08
195.71,277.92,2504.16,106.62,27367.49,1.29,0.96
230.82,205.91,1536.41,131.22,13902.34,1.56,0.86
227.62,315.68,3572.9,115.88,34931.24,1.28,0.86
227.3,203.25,1445.51,129.02,13474.8,1.6,0.93
212.14,310.46,2637.72,103.64,29770.02,1.26,0.98
242.01,205.73,1468.68,135.55,14241.16,1.6,0.9
202.24,301.61,2757.92,100.93,27500.71,1.27,0.99
209.69,184.41,1370.24,122.54,12100.51,1.55,0.9
255.99,328.69,1424.07,110.18,22958.71,1.25,0.91
228.19,198.31,1562.69,130.38,13419.21,1.61,0.98
192.67,295.31,2552.01,95.69,27587.88,1.25,1.06
214.59,193.81,1395.62,121.09,12275.12,1.52,0.98
237.3,312.72,2784.19,114.32,30587.32,1.25,0.86
225.98,203.72,1416.24,124.26,12685.9,1.55,0.98
219.66,334.76,3733.54,106.89,37548.72,1.28,0.96
218.63,178.44,1397.09,123.06,11914.76,1.57,0.99
249.06,329.45,1844.06,112.3,26310.72,1.25,0.88
208.91,276.58,2027.24,111.1,25459.18,1.27,0.9
225.75,199.51,1417.24,121.0,12304.07,1.59,0.98
200.26,301.79,2809.28,101.06,29406.68,1.27,1.02
222.84,189.42,1407.87,125.46,12309.53,1.59,1.04
237.67,337.6,3069.39,111.14,35519.86,1.26,0.91
230.93,204.79,1413.27,123.29,12742.67,1.54,1.05
208.24,289.83,2593.25,109.5,28259.97,1.25,0.9
239.88,213.74,1462.44,130.2,13862.24,1.53,0.86
251.9,343.68,3317.99,114.92,36604.15,1.26,0.86
230.67,201.9,1380.49,123.44,12651.68,1.55,1.06
263.64,346.2,1461.41,111.58,24244.21,1.23,0.88
242.38,215.0,1512.3,129.76,13512.52,1.59,0.91
255.55,357.65,3940.77,116.58,40525.23,1.27,0.86
220.25,181.33,1461.6,129.3,12742.7,1.64,0.99
259.4,344.2,2431.39,113.4,30881.44,1.27,0.88
241.48,213.08,1595.27,134.86,14673.77,1.56,0.87
208.94,309.49,2202.44,101.82,27691.59,1.27,1.01
208.93,182.6,1388.03,117.81,11724.65,1.53,1.0
224.49,314.79,3123.82,114.48,34890.9,1.26,0.87
241.2,219.38,1497.2,130.45,13795.29,1.57,0.91
203.89,303.82,2609.24,104.15,28262.27,1.27,0.96
226.44,191.86,1389.13,125.61,12541.26,1.55,1.0
252.58,341.55,2749.88,113.02,31024.29,1.26,0.9
217.48,193.42,1398.5,120.24,11945.08,1.54,0.99
210.97,286.32,2384.0,112.62,27773.15,1.27,0.88
230.55,324.78,2188.49,106.95,26759.25,1.28,0.95
240.23,198.45,1448.08,131.48,13427.61,1.59,0.92
201.18,289.49,1943.59,100.92,24398.09,1.26,1.0
246.51,210.02,1655.39,132.87,14440.19,1.53,0.96
235.6,337.06,4057.49,116.87,40836.25,1.27,0.85
215.56,191.59,1633.03,130.08,14195.66,1.56,0.86
210.89,317.16,3650.48,105.26,37127.19,1.24,0.95
241.91,213.6,1489.11,128.62,13473.4,1.57,0.93
217.04,306.89,1813.86,102.95,24080.18,1.27,1.0
208.85,282.05,1878.79,109.55,24462.86,1.28,0.93
236.68,211.27,1484.27,130.4,13335.51,1.62,0.89
258.5,345.67,2531.12,114.42,28766.32,1.28,0.87
231.02,185.79,1520.91,131.14,13015.25,1.64,0.97
202.28,282.48,2036.07,105.26,24138.55,1.26,0.95
205.48,178.55,1356.07,117.93,11341.28,1.56,0.98
190.67,299.07,2934.35,97.42,30629.92,1.26,1.01
214.02,194.17,1406.03,120.38,12346.74,1.54,0.98
230.03,326.16,2124.96,105.82,28144.26,1.24,0.95
232.7,211.31,1431.3,125.13,13056.57,1.59,0.99
223.61,330.35,2868.23,105.27,32307.59,1.26,0.98
238.03,215.02,1505.35,129.97,13667.43,1.59,0.89
204.86,192.06,1360.17,115.75,11226.94,1.55,0.98
235.76,337.41,2919.03,110.91,33047.64,1.28,0.93
258.95,345.11,1871.38,111.36,26199.8,1.25,0.92
228.34,203.06,1441.92,126.58,13051.44,1.6,0.96
218.61,307.66,2162.45,102.14,24599.4,1.27,1.01
201.05,166.39,1266.83,118.94,10971.22,1.62,1.02
237.65,334.92,3636.66,112.39,35567.11,1.27,0.91
210.87,180.27,1322.02,118.78,11618.02,1.54,0.99
216.12,331.26,2886.44,104.99,33543.2,1.26,0.98
231.56,215.15,1325.49,120.51,12080.93,1.58,1.01
253.94,342.59,2032.13,112.87,27731.31,1.25,0.87
203.0,186.21,1477.01,117.77,11968.21,1.54,0.99
202.21,284.94,1859.16,104.96,24328.15,1.26,0.95
